"ensembl_gene_id" "external_gene_name" "chromosome_name" "start_position" "end_position" "description"
"ENSXETG00000048837" "" "Chr1" 63660550 63662067 ""
"ENSXETG00000046504" "" "Chr1" 63669571 63671268 ""
"ENSXETG00000042580" "" "Chr1" 63672271 63673666 ""
"ENSXETG00000044746" "" "Chr1" 63678111 63678943 ""
"ENSXETG00000013654" "lingo3" "Chr1" 102483432 102536256 "leucine rich repeat and Ig domain containing 3 [Source:Xenbase;Acc:XB-GENE-6051175]"
"ENSXETG00000026093" "fga" "Chr1" 54510749 54521748 "fibrinogen alpha chain [Source:Xenbase;Acc:XB-GENE-478771]"
"ENSXETG00000022431" "fgb" "Chr1" 54538968 54547427 "fibrinogen beta chain [Source:Xenbase;Acc:XB-GENE-483216]"
"ENSXETG00000022434" "plrg1" "Chr1" 54553578 54572279 "pleiotropic regulator 1 [Source:Xenbase;Acc:XB-GENE-964754]"
"ENSXETG00000039430" "" "Chr1" 81458901 81572869 ""
"ENSXETG00000027610" "naaa" "Chr1" 81582196 81608792 "N-acylethanolamine acid amidase [Source:Xenbase;Acc:XB-GENE-1006650]"
"ENSXETG00000031849" "ppef2" "Chr1" 81611260 81632578 "protein phosphatase, EF-hand calcium binding domain 2 [Source:Xenbase;Acc:XB-GENE-956418]"
"ENSXETG00000001810" "etv2" "Chr1" 54611749 54781551 "ETS variant transcription factor 2 [Source:Xenbase;Acc:XB-GENE-5799180]"
"ENSXETG00000026087" "sfrp2" "Chr1" 54954591 54961566 "secreted frizzled-related protein 2 [Source:Xenbase;Acc:XB-GENE-485147]"
"ENSXETG00000021533" "prdm8" "Chr1" 95450019 95454956 "PR domain containing 8 [Source:Xenbase;Acc:XB-GENE-984391]"
"ENSXETG00000034866" "cplx1" "Chr1" 110344983 110467046 "complexin 1 [Source:Xenbase;Acc:XB-GENE-5815523]"
"ENSXETG00000018866" "ercc8" "Chr1" 55436820 55440317 "excision repair cross-complementation group 8 [Source:Xenbase;Acc:XB-GENE-1000476]"
"ENSXETG00000014102" "ppa1" "Chr1" 72570149 72589181 "pyrophosphatase (inorganic) 1 [Source:Xenbase;Acc:XB-GENE-985712]"
"ENSXETG00000004045" "fabp2" "Chr1" 70856082 70858822 "fatty acid binding protein 2 [Source:Xenbase;Acc:XB-GENE-485137]"
"ENSXETG00000021098" "etnppl" "Chr1" 67288727 67309602 "ethanolamine-phosphate phospho-lyase [Source:Xenbase;Acc:XB-GENE-968831]"
"ENSXETG00000009427" "aga" "Chr1" 47280237 47301428 "aspartylglucosaminidase [Source:Xenbase;Acc:XB-GENE-1001622]"
"ENSXETG00000030606" "neil3" "Chr1" 47295331 47309223 "nei-like DNA glycosylase 3 [Source:Xenbase;Acc:XB-GENE-1001611]"
"ENSXETG00000047496" "fgf5" "Chr1" 95523847 95569566 "fibroblast growth factor 5 [Source:Xenbase;Acc:XB-GENE-482346]"
"ENSXETG00000001003" "trpc3" "Chr1" 66726868 66790145 "transient receptor potential cation channel, subfamily C, member 3 [Source:Xenbase;Acc:XB-GENE-1014039]"
"ENSXETG00000003663" "pcdh10" "Chr1" 63041547 63100927 "protocadherin 10 [Source:Xenbase;Acc:XB-GENE-5866461]"
"ENSXETG00000044588" "jund.2" "Chr1" 112799090 112812967 "jun D proto-onco, 2 [Source:Xenbase;Acc:XB-GENE-1021801]"
"ENSXETG00000044682" "tlr2" "Chr1" 54991416 55002788 "toll like receptor 2 [Source:Xenbase;Acc:XB-GENE-481145]"
"ENSXETG00000001817" "tlr2" "Chr1" 55007547 55013665 ""
"ENSXETG00000015285" "dmrt3" "Chr1" 128680689 128690964 "doublesex and mab-3 related transcription factor 3 [Source:Xenbase;Acc:XB-GENE-995121]"
"ENSXETG00000002277" "dmrt1" "Chr1" 128701205 128745134 "doublesex and mab-3 related transcription factor 1 [Source:Xenbase;Acc:XB-GENE-852569]"
"ENSXETG00000030005" "tmem132b" "Chr1" 159660936 159954252 "transmembrane protein 132B [Source:Xenbase;Acc:XB-GENE-6037549]"
"ENSXETG00000002234" "slc46a2" "Chr1" 108542386 108549648 "solute carrier family 46 member 2 [Source:Xenbase;Acc:XB-GENE-988711]"
"ENSXETG00000000805" "auh" "Chr1" 138595947 138748820 "AU RNA binding protein/enoyl-CoA hydratase [Source:Xenbase;Acc:XB-GENE-963000]"
"ENSXETG00000000804" "nfil3" "Chr1" 138764621 138793270 "nuclear factor, interleukin 3 regulated [Source:Xenbase;Acc:XB-GENE-479624]"
"ENSXETG00000008148" "rorb.2" "Chr1" 98217349 98292129 "RAR-related orphan receptor B, 2 [Source:Xenbase;Acc:XB-GENE-922434]"
"ENSXETG00000008147" "abhd17a" "Chr1" 98291974 98311779 "abhydrolase domain containing 17A [Source:Xenbase;Acc:XB-GENE-5820301]"
"ENSXETG00000008146" "rexo1" "Chr1" 98319142 98345885 "REX1, RNA exonuclease 1 homolog [Source:Xenbase;Acc:XB-GENE-961786]"
"ENSXETG00000008135" "atp8b3" "Chr1" 98348663 98409072 "ATPase, aminophospholipid transporter, class I, type 8B, member 3 [Source:Xenbase;Acc:XB-GENE-992174]"
"ENSXETG00000033061" "ctxn3" "Chr1" 167940227 167951462 "cortexin 3 [Source:Xenbase;Acc:XB-GENE-5811089]"
"ENSXETG00000040565" "onecut3" "Chr1" 98409717 98461572 "one cut homeobox 3 [Source:Xenbase;Acc:XB-GENE-484505]"
"ENSXETG00000045030" "" "Chr1" 137598810 137602252 ""
"ENSXETG00000044906" "" "Chr1" 137605697 137608668 ""
"ENSXETG00000042190" "" "Chr1" 137611828 137614798 ""
"ENSXETG00000003622" "cep78" "Chr1" 132554632 132581664 "centrosomal protein 78kDa [Source:Xenbase;Acc:XB-GENE-5884411]"
"ENSXETG00000003623" "psat1" "Chr1" 132588036 132598421 "phosphoserine aminotransferase 1 [Source:Xenbase;Acc:XB-GENE-1016013]"
"ENSXETG00000002931" "fzd10" "Chr1" 158183087 158184956 "frizzled class receptor 10 [Source:NCBI gene (formerly Entrezgene);Acc:448162]"
"ENSXETG00000021616" "slc7a4" "Chr1" 150512224 150528667 ""
"ENSXETG00000021658" "dgcr6" "Chr1" 150537240 150544130 "DiGeorge syndrome critical region 6 [Source:Xenbase;Acc:XB-GENE-998943]"
"ENSXETG00000021256" "slc25a46" "Chr1" 173597719 173620639 "solute carrier family 25 member 46 [Source:Xenbase;Acc:XB-GENE-5803974]"
"ENSXETG00000009177" "tdgf1.3" "Chr1" 136462875 136486953 "teratocarcinoma-derived growth factor 1, member 3 [Source:Xenbase;Acc:XB-GENE-482448]"
"ENSXETG00000021258" "tmem232" "Chr1" 173620852 173671476 "transmembrane protein 232 [Source:Xenbase;Acc:XB-GENE-953024]"
"ENSXETG00000023155" "nek1" "Chr1" 50012888 50071327 "NIMA-related kinase 1 [Source:Xenbase;Acc:XB-GENE-983162]"
"ENSXETG00000013061" "yjefn3" "Chr1" 113643204 113682299 "YjeF N-terminal domain containing 3 [Source:Xenbase;Acc:XB-GENE-6044539]"
"ENSXETG00000017824" "" "Chr1" 518618 557792 ""
"ENSXETG00000034886" "tlx2" "Chr1" 558137 574935 "T cell leukemia, homeobox 2 [Source:Xenbase;Acc:XB-GENE-5995963]"
"ENSXETG00000038812" "mfsd14bl" "Chr1" 137464967 137501805 "major facilitator superfamily domain containing 14B like [Source:Xenbase;Acc:XB-GENE-22168215]"
"ENSXETG00000009350" "sfswap" "Chr1" 156834223 156891395 "splicing factor SWAP [Source:Xenbase;Acc:XB-GENE-489668]"
"ENSXETG00000026198" "" "Chr1" 189467387 189476208 ""
"ENSXETG00000002278" "kank1" "Chr1" 128762066 128879526 "KN motif and ankyrin repeat domains 1 [Source:Xenbase;Acc:XB-GENE-876859]"
"ENSXETG00000010267" "XB5909790 [provisional]" "Chr1" 116012655 116024457 "MGC80314 protein [Source:Xenbase;Acc:XB-GENE-5909791]"
"ENSXETG00000017583" "dtwd2" "Chr1" 170728907 170783731 "DTW domain containing 2 [Source:Xenbase;Acc:XB-GENE-5735070]"
"ENSXETG00000023109" "adamtsl1" "Chr1" 118365161 118830388 "ADAMTS like 1 [Source:Xenbase;Acc:XB-GENE-987230]"
"ENSXETG00000018597" "aldh3b1" "Chr1" 146817752 146827436 "aldehyde dehydrogenase 3 family member B1 [Source:Xenbase;Acc:XB-GENE-5749635]"
"ENSXETG00000040875" "mmab" "Chr1" 146830418 146838870 "metabolism of cobalamin associated B [Source:Xenbase;Acc:XB-GENE-998883]"
"ENSXETG00000041813" "" "Chr1" 118608162 118609652 ""
"ENSXETG00000018603" "mvk" "Chr1" 146839185 146852202 "mevalonate kinase [Source:Xenbase;Acc:XB-GENE-998892]"
"ENSXETG00000017078" "s100z" "Chr1" 184976115 184982012 "S100 calcium binding protein Z [Source:Xenbase;Acc:XB-GENE-5897993]"
"ENSXETG00000035873" "st8sia4" "Chr1" 175808472 175871343 "ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:Xenbase;Acc:XB-GENE-950930]"
"ENSXETG00000021114" "anxa5" "Chr1" 66876963 66895623 "annexin A5 [Source:Xenbase;Acc:XB-GENE-1007295]"
"ENSXETG00000000592" "rcl1" "Chr1" 127266778 127290997 "RNA terminal phosphate cyclase-like 1 [Source:Xenbase;Acc:XB-GENE-962711]"
"ENSXETG00000016412" "rasal1" "Chr1" 145068172 145101639 "RAS protein activator like 1 (GAP1 like) [Source:Xenbase;Acc:XB-GENE-942936]"
"ENSXETG00000048112" "" "Chr1" 5348560 5380555 ""
"ENSXETG00000049298" "" "Chr1" 151118729 151295049 ""
"ENSXETG00000042319" "hint2" "Chr1" 215745941 215763406 "histidine triad nucleotide binding protein 2 [Source:Xenbase;Acc:XB-GENE-5944157]"
"ENSXETG00000010183" "anp32b" "Chr1" 107633097 107663000 "acidic nuclear phosphoprotein 32 family member B [Source:Xenbase;Acc:XB-GENE-988727]"
"ENSXETG00000021106" "cyp2u1" "Chr1" 66904636 66921245 "cytochrome P450 family 2 subfamily U member 1 [Source:Xenbase;Acc:XB-GENE-1007290]"
"ENSXETG00000017645" "sart3" "Chr1" 146280505 146310547 "spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]"
"ENSXETG00000012179" "rtn4r" "Chr1" 151227100 151322794 "reticulon 4 receptor [Source:Xenbase;Acc:XB-GENE-6065292]"
"ENSXETG00000002259" "pitpnb.2" "Chr1" 150061652 150086500 "phosphatidylinositol transfer protein beta [Source:Xenbase;Acc:XB-GENE-949250]"
"ENSXETG00000049308" "" "Chr1" 141032124 141033020 ""
"ENSXETG00000016155" "smtn" "Chr1" 143954629 144036926 "smoothelin [Source:Xenbase;Acc:XB-GENE-951898]"
"ENSXETG00000045548" "tmem233" "Chr1" 151336195 151361677 "transmembrane protein 233 [Source:Xenbase;Acc:XB-GENE-13579854]"
"ENSXETG00000000588" "ak3" "Chr1" 127304616 127315711 "adenylate kinase 3 [Source:Xenbase;Acc:XB-GENE-977028]"
"ENSXETG00000039548" "st8sia5" "Chr1" 206980268 207017121 "ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:Xenbase;Acc:XB-GENE-988459]"
"ENSXETG00000002245" "frmpd1" "Chr1" 108822582 108895114 "FERM and PDZ domain containing 1 [Source:Xenbase;Acc:XB-GENE-954374]"
"ENSXETG00000030275" "mif" "Chr1" 153039964 153043523 "macrophage migration inhibitory factor [Source:Xenbase;Acc:XB-GENE-487448]"
"ENSXETG00000021105" "hadh" "Chr1" 66930891 66942580 "hydroxyacyl-CoA dehydrogenase [Source:Xenbase;Acc:XB-GENE-1007278]"
"ENSXETG00000048987" "" "Chr1" 141037402 141037878 ""
"ENSXETG00000037570" "chsy3" "Chr1" 167041095 167215899 "chondroitin sulfate synthase 3 [Source:Xenbase;Acc:XB-GENE-980444]"
"ENSXETG00000027428" "iscu" "Chr1" 146314764 146322223 "iron-sulfur cluster assembly enzyme [Source:Xenbase;Acc:XB-GENE-946406]"
"ENSXETG00000014338" "armc6" "Chr1" 114302947 114312059 "armadillo repeat containing 6 [Source:Xenbase;Acc:XB-GENE-953885]"
"ENSXETG00000026945" "prkab1" "Chr1" 151376603 151386498 "protein kinase, AMP-activated, beta 1 non-catalytic subunit [Source:Xenbase;Acc:XB-GENE-970882]"
"ENSXETG00000024487" "acer2" "Chr1" 119073897 119095458 "alkaline ceramidase 2 [Source:Xenbase;Acc:XB-GENE-1015552]"
"ENSXETG00000042204" "" "Chr1" 141041844 141042865 ""
"ENSXETG00000000595" "cdc37l1" "Chr1" 127322356 127330214 "cell division cycle 37-like 1 [Source:Xenbase;Acc:XB-GENE-984706]"
"ENSXETG00000021102" "lef1" "Chr1" 66958839 67040933 "lymphoid enhancer binding factor 1 [Source:Xenbase;Acc:XB-GENE-485517]"
"ENSXETG00000000759" "rfk" "Chr1" 131917842 131922781 "riboflavin kinase [Source:Xenbase;Acc:XB-GENE-1010122]"
"ENSXETG00000036153" "" "Chr1" 5535499 5536556 ""
"ENSXETG00000009377" "mob3b" "Chr1" 122380907 122440854 "MOB kinase activator 3B [Source:Xenbase;Acc:XB-GENE-1011429]"
"ENSXETG00000034895" "C4orf46" "Chr1" 52954305 52957465 "chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]"
"ENSXETG00000022939" "dhfr" "Chr1" 182127670 182137574 ""
"ENSXETG00000049441" "" "Chr1" 214981968 214990246 ""
"ENSXETG00000031297" "" "Chr1" 207035538 207037742 ""
"ENSXETG00000030450" "sugp2" "Chr1" 114311986 114362205 "SURP and G-patch domain containing 2 [Source:Xenbase;Acc:XB-GENE-490827]"
"ENSXETG00000007119" "slc10a7" "Chr1" 58159075 58272474 "solute carrier family 10 member 7 [Source:Xenbase;Acc:XB-GENE-489389]"
"ENSXETG00000042242" "tmem119" "Chr1" 146325987 146333777 "transmembrane protein 119 [Source:Xenbase;Acc:XB-GENE-5796050]"
"ENSXETG00000047568" "slc14a2" "Chr1" 207069223 207098516 "solute carrier family 14 (urea transporter), member 2 [Source:Xenbase;Acc:XB-GENE-977910]"
"ENSXETG00000036088" "tomm5" "Chr1" 108998302 109000141 "translocase of outer mitochondrial membrane 5 homolog [Source:Xenbase;Acc:XB-GENE-1003661]"
"ENSXETG00000031305" "minar2" "Chr1" 167249780 167254498 "membrane integral NOTCH2 associated receptor 2 [Source:Xenbase;Acc:XB-GENE-980432]"
"ENSXETG00000000760" "gcnt1" "Chr1" 131972603 131980898 "glucosaminyl (N-acetyl) transferase 1 [Source:Xenbase;Acc:XB-GENE-996858]"
"ENSXETG00000030157" "smc5" "Chr1" 129779222 129825723 "structural maintenance of chromosomes 5 [Source:Xenbase;Acc:XB-GENE-953072]"
"ENSXETG00000023661" "fam13a" "Chr1" 78702026 78826815 "family with sequence similarity 13 member A [Source:Xenbase;Acc:XB-GENE-991906]"
"ENSXETG00000032054" "tmem17" "Chr1" 166775573 166779114 "transmembrane protein 17 [Source:Xenbase;Acc:XB-GENE-5865173]"
"ENSXETG00000002592" "txn" "Chr1" 115428793 115465032 "thioredoxin [Source:Xenbase;Acc:XB-GENE-5895392]"
"ENSXETG00000004044" "usp53" "Chr1" 70802281 70837582 "ubiquitin specific peptidase 53 [Source:Xenbase;Acc:XB-GENE-960675]"
"ENSXETG00000032613" "adamts19" "Chr1" 167257547 167382329 "ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:Xenbase;Acc:XB-GENE-980450]"
"ENSXETG00000039864" "micos13" "Chr1" 114328656 114333384 "mitochondrial contact site and cristae organizing system subunit 13 [Source:Xenbase;Acc:XB-GENE-1004044]"
"ENSXETG00000040617" "REELD1" "Chr1" 58304437 58324080 "reeler domain containing 1 [Source:HGNC Symbol;Acc:HGNC:53638]"
"ENSXETG00000006532" "fbxo10" "Chr1" 109018554 109065855 "F-box protein 10 [Source:Xenbase;Acc:XB-GENE-987647]"
"ENSXETG00000010186" "coro2a" "Chr1" 107676421 107766008 "coronin 2A [Source:Xenbase;Acc:XB-GENE-492690]"
"ENSXETG00000016154" "" "Chr1" 144059281 144072891 ""
"ENSXETG00000016413" "dtx1" "Chr1" 145033924 145063456 "deltex 1 [Source:Xenbase;Acc:XB-GENE-481116]"
"ENSXETG00000023099" "slc24a2" "Chr1" 119107644 119214281 "solute carrier family 24 member 2 [Source:Xenbase;Acc:XB-GENE-483618]"
"ENSXETG00000014342" "hsd11b1l" "Chr1" 114339394 114346694 "hydroxysteroid (11-beta) dehydrogenase 1-like [Source:Xenbase;Acc:XB-GENE-5851849]"
"ENSXETG00000023683" "lsm6" "Chr1" 58331764 58335894 "LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:Xenbase;Acc:XB-GENE-1007008]"
"ENSXETG00000026537" "gadd45g" "Chr1" 138048995 138051097 "growth arrest and DNA damage inducible gamma [Source:NCBI gene (formerly Entrezgene);Acc:448442]"
"ENSXETG00000046020" "" "Chr1" 78703762 78745810 ""
"ENSXETG00000003335" "slc7a11" "Chr1" 61777826 61870598 "solute carrier family 7 member 11 [Source:Xenbase;Acc:XB-GENE-960114]"
"ENSXETG00000014344" "celf5" "Chr1" 114351885 114418104 "CUGBP Elav-like family member 5 [Source:Xenbase;Acc:XB-GENE-494002]"
"ENSXETG00000006533" "polr1e" "Chr1" 109077323 109094967 "polymerase (RNA) I polypeptide E [Source:Xenbase;Acc:XB-GENE-1003651]"
"ENSXETG00000023395" "alb" "Chr1" 80147999 80174222 "albumin [Source:Xenbase;Acc:XB-GENE-480330]"
"ENSXETG00000033124" "mrpl52" "Chr1" 140065836 140067125 "mitochondrial ribosomal protein L52 [Source:Xenbase;Acc:XB-GENE-995673]"
"ENSXETG00000030483" "spata6l" "Chr1" 127330015 127357174 "spermatosis associated 6-like [Source:Xenbase;Acc:XB-GENE-984718]"
"ENSXETG00000010200" "ecpas" "Chr1" 107775019 107824128 "Ecm29 proteasome adaptor and scaffold [Source:Xenbase;Acc:XB-GENE-967168]"
"ENSXETG00000039318" "inip" "Chr1" 108442310 108470595 "INTS3 and NABP interacting protein [Source:Xenbase;Acc:XB-GENE-988714]"
"ENSXETG00000042223" "XB5771954 [provisional:nnmt]" "Chr1" 9738439 9740972 "provisional ortholog of nicotinamide N-methyltransferase [Source:Xenbase;Acc:XB-GENE-5771955]"
"ENSXETG00000043501" "" "Chr1" 90261662 90264907 ""
"ENSXETG00000037401" "" "Chr1" 89348900 89374528 ""
"ENSXETG00000022669" "mmp14" "Chr1" 140077632 140100217 "matrix metallopeptidase 14 [Source:Xenbase;Acc:XB-GENE-485643]"
"ENSXETG00000041921" "" "Chr1" 121385575 121389339 ""
"ENSXETG00000048368" "" "Chr1" 80175350 80226176 ""
"ENSXETG00000046913" "" "Chr1" 115195191 115197127 ""
"ENSXETG00000023684" "znf827" "Chr1" 58422630 58530370 "zinc finger protein 827 [Source:Xenbase;Acc:XB-GENE-1033048]"
"ENSXETG00000030784" "lyrm7" "Chr1" 166779739 166785710 "LYR motif containing 7 [Source:Xenbase;Acc:XB-GENE-963575]"
"ENSXETG00000022900" "grpel1" "Chr1" 24545388 24609718 "GrpE-like 1, mitochondrial [Source:Xenbase;Acc:XB-GENE-973857]"
"ENSXETG00000011719" "tmem161b" "Chr1" 179742731 179761709 "transmembrane protein 161B [Source:Xenbase;Acc:XB-GENE-1001045]"
"ENSXETG00000043975" "" "Chr2" 80513226 80514248 ""
"ENSXETG00000035871" "" "Chr1" 90941642 90942895 ""
"ENSXETG00000040941" "" "Chr2" 28614896 28615090 ""
"ENSXETG00000048155" "U4" "Chr2" 97901693 97901834 "U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]"
"ENSXETG00000047854" "" "Chr2" 174597815 174602826 ""
"ENSXETG00000034071" "" "Chr2" 83837865 83839388 ""
"ENSXETG00000048819" "" "Chr1" 153095737 153098114 ""
"ENSXETG00000011692" "glis3" "Chr1" 127449571 127638560 "GLIS family zinc finger 3 [Source:Xenbase;Acc:XB-GENE-984727]"
"ENSXETG00000040688" "" "Chr1" 9745093 9745549 ""
"ENSXETG00000047095" "5S_rRNA" "Chr2" 716887 717005 "5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSXETG00000046402" "" "Chr1" 82846089 82848176 ""
"ENSXETG00000003614" "taok2" "Chr1" 132023135 132171236 "prune homolog 2 [Source:Xenbase;Acc:XB-GENE-989623]"
"ENSXETG00000048269" "" "Chr2" 81263469 81265511 ""
"ENSXETG00000045908" "" "Chr1" 89398523 89400018 ""
"ENSXETG00000012803" "chrna9" "Chr1" 36421622 36428481 "cholinergic receptor, nicotinic alpha 9 [Source:Xenbase;Acc:XB-GENE-983401]"
"ENSXETG00000048502" "U4" "Chr2" 97835466 97835606 "U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]"
"ENSXETG00000049380" "" "Chr1" 80211503 80212253 ""
"ENSXETG00000044297" "" "Chr3" 140252036 140254344 ""
"ENSXETG00000046547" "" "Chr1" 90958588 90959826 ""
"ENSXETG00000049213" "" "Chr2" 28661995 28663008 ""
"ENSXETG00000033078" "XB5765006 [provisional:trim25]" "Chr2" 83842407 83845352 "provisional ortholog of tripartite motif containing 25 [Source:Xenbase;Acc:XB-GENE-5765007]"
"ENSXETG00000044783" "mis18a" "Chr2" 15376288 15386955 "MIS18 kinetochore protein A [Source:Xenbase;Acc:XB-GENE-1006498]"
"ENSXETG00000043282" "5S_rRNA" "Chr2" 719528 719646 "5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSXETG00000013757" "rem2" "Chr1" 140125127 140144131 "RAS (RAD and GEM)-like GTP binding 2 [Source:Xenbase;Acc:XB-GENE-491229]"
"ENSXETG00000043168" "" "Chr1" 158247721 158248392 ""
"ENSXETG00000008278" "hint1" "Chr1" 166785549 166803306 "histidine triad nucleotide binding protein 1 [Source:Xenbase;Acc:XB-GENE-1014427]"
"ENSXETG00000046996" "" "Chr2" 153787227 153788264 ""
"ENSXETG00000019628" "adgrv1" "Chr1" 178846403 178898113 "adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]"
"ENSXETG00000046792" "U4" "Chr2" 97836182 97836322 "U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]"
"ENSXETG00000025161" "dazap2" "Chr2" 142120842 142431682 "DAZ associated protein 2 [Source:Xenbase;Acc:XB-GENE-856567]"
"ENSXETG00000038285" "" "Chr1" 9762167 9762911 ""
"ENSXETG00000041652" "" "Chr3" 113968211 113986871 ""
"ENSXETG00000035814" "" "Chr2" 138753072 138753146 ""
"ENSXETG00000036218" "" "Chr1" 193520798 193521865 ""
"ENSXETG00000047497" "" "Chr2" 30315302 30317031 ""
"ENSXETG00000045127" "" "Chr1" 91004233 91005846 ""
"ENSXETG00000012183" "cit" "Chr1" 151388244 151456492 "citron rho-interacting serine/threonine kinase [Source:Xenbase;Acc:XB-GENE-981097]"
"ENSXETG00000023685" "mmaa" "Chr1" 58564505 58577438 "metabolism of cobalamin associated A [Source:Xenbase;Acc:XB-GENE-978985]"
"ENSXETG00000046919" "rflna" "Chr1" 160591924 160649357 "refilin A [Source:Xenbase;Acc:XB-GENE-986501]"
"ENSXETG00000048558" "" "Chr2" 143117251 143120034 ""
